Lon	Lat	Com_psi
763322.6309	1613000.522	60
763306.9782	1613002.346	122
763288.4006	1613005.468	86
763272.1011	1613007.286	103
763257.1995	1613009.45	47
763241.9864	1613010.505	152
763243.3328	1613025.685	94
763260.0694	1613023.319	140
763276.4778	1613021.392	77
763292.0286	1613019.013	92
763308.9666	1613017.977	86
763325.169	1613015.162	175
763327.3789	1613030.241	79
763310.4314	1613032.162	120
763294.6674	1613034.318	76
763277.1809	1613036.233	76
763259.9041	1613038.705	91
763244.3522	1613041.194	135
763248.1578	1613058.283	115
763266.3976	1613056.487	93
763281.7387	1613053.552	69
763297.4992	1613051.728	62
763315.0011	1613048.374	64
763331.5067	1613047.444	148
763332.6279	1613063.508	78
763313.9532	1613065.632	85
763297.6514	1613067.671	98
763281.3496	1613069.71	58
763263.6261	1613073.616	56
763248.7281	1613075.448	98
763252.7422	1613093.204	88
763268.5109	1613090.605	98
763284.7085	1613088.233	84
763300.2592	1613085.854	76
763317.2138	1613083.269	130
763333.2053	1613080.009	146
763334.5254	1613097.624	164
763318.4428	1613099.334	144
763304.194	1613100.952	135
763288.4217	1613103.882	121
763272.6613	1613105.705	102
763257.2243	1613107.532	81
763257.4908	1613122.773	147
763272.0624	1613121.308	105
763289.3273	1613119.943	89
763304.7583	1613118.67	98
763320.6325	1613116.294	112
763335.297	1613116.12	94
763338.5635	1613133.203	125
763321.7406	1613133.576	88
763305.658	1613135.285	106
763290.0137	1613136.335	82
763272.7358	1613138.917	90
763256.8747	1613140.075	145
763256.4582	1613158.779	174
763272.2174	1613157.066	128
763289.0486	1613155.919	140
763303.2303	1613155.389	128
763318.6159	1613153.469	110
763337.5156	1613150.461	134
763342.6219	1613166.9	130
763321.8777	1613170.995	100
763303.9565	1613173.237	120
763290.5737	1613174.533	128
763273.9545	1613176.015	118
763257.8945	1613175.621	196
